Name;Team;Competition;Nationality;Age;Primary Position;Secondary Position;Minutes Played;finishing;dribbling;passing;creation;defending;pressing;overall;overall_global;overall_league_adjusted
Jesé;Las Palmas;La Liga 2;Spain;28;Left Centre Forward;Centre Forward;1228,7832;7,902955666;31,52278159;33,04415743;43,15208746;8,097097634;42,95099799;42,05258499;42,18568977;31,07659205
Stefan Hierländer;Sturm Graz;Bundesliga;Austria;30;Right Centre Midfielder;Right Midfielder;2880,9333;15,22641915;28,59330613;24,29475305;14,69158171;46,14382887;47,91418398;39,15022011;42,18259496;26,63512477
Lamine Gueye;Metz;Ligue 1;Senegal;23;Right Wing;Right Centre Forward;1541,6833;18,71685884;31,29405496;33,34728087;19,37063605;38,70766902;25,00149277;42,57589698;42,17994136;39,95017382
Igor de Camargo;Mechelen;Jupiler Pro League;Belgium;38;Centre Forward;Centre Attacking Midfielder;1667,2834;48,12296752;18,90883488;31,10806215;20,36837431;29,5084053;39,0035056;52,56590048;42,15461799;31,05370266
Federico Bernardeschi;Juventus;Serie A;Italy;27;Left Midfielder;Left Back;1074,1334;0,026913458;36,0099716;51,56543131;20,14498106;29,019964;40,91990126;40,06387747;42,11959754;39,89301998
Jacob Brown;Stoke City;Championship;England;23;Right Wing;Right Centre Forward;2527,2664;32,30732368;27,45017814;25,49619561;12,09244337;24,80425425;53,40674948;46,95564957;42,11431219;37,67201325
Abdón Prats;Mallorca;La Liga 2;Spain;28;Centre Forward;Right Centre Forward;1943,2334;43,50305277;24,72770002;25,92353549;27,43453303;23,62742154;35,89560319;53,17386612;42,09980192;31,01332174
Mama Baldé;Dijon;Ligue 1;International;25;Centre Forward;Right Wing;2259,0164;31,33932329;28,87065525;29,31208401;4,682123146;33,12395073;34,73305555;44,76593684;42,08257208;39,8579518
Milot Rashica;Werder Bremen;1. Bundesliga;Kosovo;24;Left Wing;Left Centre Forward;1544,6666;12,95023847;40,03128903;31,20160804;18,0522947;21,08090366;32,49547362;43,41477176;42,08078461;37,64202222
Habib Diallo;Strasbourg;Ligue 1;Senegal;25;Left Centre Forward;Right Centre Forward;2435,5334;38,4293101;22,04366255;31,12692099;21,29493579;25,56573649;23,96195547;47,19205477;42,0241195;39,80258921
Luis Suárez;Atlético Madrid;La Liga;Uruguay;34;Left Centre Forward;Right Centre Forward;2628,1667;52,96873149;17,5926949;36,9435461;19,92279254;26,84444485;16,3631127;52,87671034;41,92464522;44,12041496
Josh Brownhill;Burnley;Premier League;England;25;Left Defensive Midfielder;Right Midfielder;2996,75;0,015778826;30,64379479;44,42892005;5,948900913;47,97623279;28,92761564;32,00695378;41,91443854;44,10967371
Kwasi Okyere Wriedt;Willem II;Eredivisie;Ghana;26;Centre Forward;Left Centre Forward;1939,2167;43,51794396;30,73348441;26,8691636;12,79179781;30,34951982;22,37972488;52,45612535;41,90614169;30,87065962
Christian Benteke;Crystal Palace;Premier League;Belgium;30;Right Centre Forward;Centre Forward;1942,4836;40,39995496;27,2575557;30,40766382;8,30775663;24,01198693;22,23995333;47,9386444;41,87493319;44,0680993
Jørgen Strand Larsen;FC Groningen;Eredivisie;Norway;21;Centre Forward;Right Centre Forward;2440,4;41,33366827;21,02092336;21,22621516;18,67400278;17,59748433;51,78972223;48,18654629;41,87316378;30,84636605
Enes Ünal;Getafe;La Liga;Turkey;24;Right Centre Forward;Centre Forward;1406,6334;21,92684614;36,19916405;31,15220245;15,32685571;13,07863017;35,06294412;45,33286269;41,84840808;44,04018496
Brayan Riascos;Nacional;Primeira Liga;Colombia;26;Centre Forward;Right Midfielder;2419,4497;20,45652175;36,96962139;31,81568367;6,081544897;27,52769313;38,6907689;44,3522453;41,72251246;39,51692609
Freddie Ladapo;Rotherham United;Championship;England;28;Centre Forward;Right Centre Forward;2295,4663;39,10837303;27,68481459;27,05125837;8,596129625;27,33584273;24,51754628;47,30074731;41,70401698;37,30499677
Oliver Burke;Sheffield United;Premier League;Scotland;24;Right Centre Forward;Left Centre Forward;1344,8334;9,92959965;31,3023123;31,17670843;21,74042517;22,40747749;44,74192032;38,9061073;41,68302163;43,86613653
Pablo Martínez;Mirandés;La Liga 2;Spain;23;Left Wing;Centre Attacking Midfielder;2874,7163;12,48105505;24,72550794;36,29271116;13,07732766;38,40441699;49,34890844;37,1497283;41,60440579;30,64838227
Isaac Mbenza;Huddersfield Town;Championship;Belgium;25;Right Wing;Left Wing;2470,016;34,00593477;18,00700978;40,40578272;20,71357338;38,43809274;26,45358251;45,29710782;41,58879758;37,20193093
